number,r_0,r_1,phase_0,phase_1
1,0.03495499487283213,0.00038691737504334455,-40.716325883917655,-111.3037081993327
2,0.032135161945840526,0.0005131046394218088,-33.325013821999285,-108.96572531962893
3,0.03149394030752698,0.0006622351538550021,-49.13335961745615,-101.76245208212289
4,0.021106049872062216,0.0007940722583202179,-60.61690741046538,-99.65695443279961
5,0.029204181483574773,0.0006386577103432165,-100.60652513430313,-144.16326094026385
6,0.009662129192972222,0.0008821731944032312,2.0399528468206762,-86.43896908476341
7,0.027009254485197406,0.0005836519241347768,-99.41599747528014,-144.91731266726202
8,0.027295210579271388,0.0005820756363807014,-98.15842734700598,-141.63029732508534
9,0.014057492339459854,0.0008949961711285583,-2.4423905962489845,-85.21667686449295
10,0.010602935093806234,0.0007427508313598514,-31.274682807141904,-92.99775252396903
11,0.014160702451984123,0.0006478246703585269,-43.57352034417749,-94.65333399670747
12,0.013457078071436377,0.00043046505605100617,-65.95937242894774,-102.17355040364492
13,0.018718634233766514,0.0003209104449166093,-87.68188639642894,-117.49931761005733
14,0.021274803362585772,0.0001317609030465695,-99.64475441998752,-74.64362859265123
15,0.020555623683340726,0.000211317012047094,-112.09977898616204,11.514161914909765
16,0.024800026686235092,0.0001938231748922545,-114.62353885126201,-19.434272382683915
17,0.023518348740062044,7.99538061845945e-05,-126.17785674348745,-54.333623751850766
18,0.019940796825581406,0.00022670267233422092,-96.90164605298716,-74.96650949902617
19,0.016431472477361125,0.00034166327394154694,-62.14657730936607,-123.58783092001912
20,0.04037267365671005,0.00038399970002139387,-49.54966865950066,-121.25100190213507
21,0.03510058417910487,0.00021196201149546018,-55.13461087556724,-120.74314486358666
22,0.03837240783192509,0.00012687365449880992,-41.64208346913698,-101.40194637560104
23,0.03391291358305748,8.067462139012603e-05,-49.6564206272792,-34.09969156176128
24,0.028447531034100287,0.00012690819366691908,-43.63831589308875,-28.399675421027855
25,0.03195642485325619,0.000256612383414145,-46.05931870095765,-55.79337029097998
26,0.02881020543841128,0.0003438750288849645,-42.58248610157076,-68.26346622607294
27,0.02729847176808852,0.0003383982495103204,-55.71938393798574,-98.25370969897621
28,0.01914048940519681,0.00042727133473122143,-79.0818691924031,-139.95518069463753
29,0.020635598716678985,0.0003657620939762713,-52.698485707499216,-135.85732462821616
30,0.014838137572938151,0.0004037312583628068,-57.58370944779903,-158.17489421544371
31,0.012459119850182243,0.0004000146803413728,-61.52485611116169,-154.08619317737737
32,0.011592204771933706,0.0005019748436552369,-57.24121798530519,-98.46843251347347
33,0.010829032111045635,0.0005585569564541971,-53.105991850943916,-79.7511342718718
34,0.01602480526456858,0.0005642942404950025,-59.073304617696074,-158.63427025776664
35,0.014301413231682231,0.0005655547478822867,-70.22997304025701,-160.40403431034966
36,0.015536085004897062,0.0006021845555795106,-78.47245233767354,-152.20951014554814
